"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "Markdown", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 10280, 0, 1, 10281
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 77, 0, 1, 78
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 180, 0, 0, 0, 0, 0, 26, 48, 254
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\checkifvoted\route.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getcategories\route.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
