"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 13, 14, 6, 33
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\setlockey\route.ts", "TypeScript", 0, 15, 0, 0, 3, 18
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\error-location-request\page.tsx", "TypeScript JSX", 0, 0, 16, 1, 4, 21
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\fonts.ts", "TypeScript", 0, 0, 0, 4, 1, 5
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\globals.css", "CSS", -1, 0, 0, 1, 0, 0
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 2
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\location-request\page.tsx", "TypeScript JSX", 0, 0, 16, 1, 4, 21
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\page.tsx", "TypeScript JSX", 0, 0, 15, 23, 10, 48
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\validation\page.tsx", "TypeScript JSX", 0, 0, -499, -105, -87, -691
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\error-loc-request.tsx", "TypeScript JSX", 0, 0, 172, 32, 10, 214
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\loc-request.tsx", "TypeScript JSX", 0, 0, 87, 17, 9, 113
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\components\component\voting-core.tsx", "TypeScript JSX", 0, 0, 9, 3, 1, 13
"Total", "-", -1, 15, -171, -7, -39, -203
