"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "CSS", "XML", "TypeScript JSX", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\components.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 5
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 10307, 0, 0, 1, 10308
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\package.json", "JSON", 0, 0, 0, 0, 0, 0, 78, 0, 0, 1, 79
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 9
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vox-ailogo-cap-mono.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vox-ailogo-cap.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 17
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vox-ailogo-ol.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\public\vox-ailogomono-ol.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 200, 0, 0, 40, 57, 297
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\checkifvoted\route.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getcategories\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getextraoptions\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getextraquestions\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getvgi\route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getvotes\route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getvotesextra\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\getvotingoptions\route.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\setlockey\route.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\api\validate\route.ts", "TypeScript", 475, 0, 0, 0, 0, 0, 0, 0, 116, 91, 682
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\error-incognito\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\error-location-request\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 1, 4, 21
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\error-vote\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 2, 8, 53
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\fonts.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 8, 5, 29
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\gbf.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\globals.css", "CSS", 0, 0, 0, 433, 0, 0, 0, 0, 11, 78, 522
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\icon.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 4, 5, 34
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\location-request\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 1, 4, 21
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 122, 61, 325
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\stats\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 283, 0, 0, 45, 64, 392
"c:\Users\racc0\Downloads\first-nextjs-master\first-nextjs-master\src\app\thanks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
